ts_utc,buy_qty,sell_qty,buy_quote,sell_quote,delta_quote
2025-09-22T15:49:59Z,104295.3,46199.2,45267.00279,20040.662490000002,25226.340299999996
2025-09-22T15:50:59Z,156917.0,327679.1,68184.72753,142286.27853,-74101.551
2025-09-22T15:51:59Z,164528.7,332979.1,71251.20999,144242.66754999998,-72991.45755999998
2025-09-22T15:52:59Z,162118.3,161184.60000000003,70159.41781,69755.36665,404.0511600000027
2025-09-22T15:53:59Z,117834.9,202931.69999999998,50944.96825,87751.07373999999,-36806.105489999994
2025-09-22T15:54:59Z,218864.2,136550.59999999998,94701.10547,59086.03795000001,35615.06751999998
2025-09-22T15:55:59Z,54754.4,328318.3,23692.46093,142065.30855,-118372.84761999999
2025-09-22T15:56:59Z,67013.4,32940.70000000001,28998.01348,14255.824009999997,14742.189470000005
2025-09-22T15:57:59Z,57400.3,87110.59999999999,24880.05467,37748.81576,-12868.761089999996
2025-09-22T15:58:59Z,53151.8,45662.7,23015.62367,19769.69358,3245.9300900000017
2025-09-22T15:59:59Z,32941.0,131573.1,14255.37873,56926.30699,-42670.92826
2025-09-22T16:00:59Z,88738.1,47318.79999999999,38399.8808,20473.13637,17926.74443
2025-09-22T16:01:59Z,81090.6,65823.19999999998,35156.84881,28545.84059,6611.008220000003
2025-09-22T16:02:59Z,97050.4,82900.0,42088.17592,35950.443250000004,6137.732669999998
2025-09-22T16:03:59Z,133792.3,351437.4,58028.90937,152352.09592999998,-94323.18655999997
2025-09-22T16:04:59Z,101967.6,105508.69999999998,44272.36641,45816.825769999996,-1544.4593599999935
2025-09-22T16:05:59Z,266074.3,86376.20000000001,115626.94173,37535.733640000006,78091.20809
2025-09-22T16:06:59Z,127133.3,93111.40000000001,55187.68344,40457.716689999994,14729.966750000007
2025-09-22T16:07:59Z,95619.2,82721.00000000001,41467.33776,35869.72884,5597.608919999999
2025-09-22T16:08:59Z,81476.9,39033.8,35320.79522,16915.205520000003,18405.589699999997
2025-09-22T16:09:59Z,61387.3,38610.5,26648.55677,16773.427250000004,9875.129519999995
2025-09-22T16:10:59Z,110942.9,51497.30000000002,48199.98313,22368.196919999995,25831.786210000006
2025-09-22T16:11:59Z,74763.4,164626.7,32473.33297,71502.68102999999,-39029.34805999999
2025-09-22T16:12:59Z,64165.9,66870.70000000001,27842.81979,29026.707259999996,-1183.8874699999942
2025-09-22T16:13:59Z,120821.1,46744.5,52422.42274,20286.11952,32136.30322
2025-09-22T16:14:59Z,53904.7,25668.100000000006,23387.37741,11136.067239999997,12251.310170000004
2025-09-22T16:15:59Z,80120.1,25016.899999999994,34734.51693,10845.254659999999,23889.26227
2025-09-22T16:16:59Z,63201.4,80534.6,27408.77443,34923.693289999996,-7514.918859999994
2025-09-22T16:17:59Z,124962.8,277445.4,54027.10328,119966.34451999998,-65939.24123999997
2025-09-22T16:18:59Z,216813.1,102903.69999999998,93895.5739,44572.33982000001,49323.234079999995
2025-09-22T16:19:59Z,197244.1,352191.80000000005,85421.12006,152517.84146000003,-67096.72140000002
2025-09-22T16:20:59Z,76829.8,158198.5,33246.49353,68456.35776000001,-35209.864230000014
2025-09-22T16:21:59Z,221985.9,75780.69999999998,96244.10152,32846.38273,63397.71879
2025-09-22T16:22:59Z,175691.2,176019.09999999998,75999.18448,76155.02305000002,-155.83857000002172
2025-09-22T16:23:59Z,226295.9,1189847.4000000001,97614.58406,513206.0172199999,-415591.4331599999
2025-09-22T16:24:59Z,376308.0,599169.8,162439.77173,258521.00330999997,-96081.23157999996
2025-09-22T16:25:59Z,128183.2,175269.09999999998,55347.37334,75660.38414000001,-20313.01080000001
2025-09-22T16:26:59Z,142515.5,341044.7,61610.67018,147440.30202,-85829.63184
2025-09-22T16:27:59Z,210588.4,122806.6,90976.26228,53053.9743,37922.287979999994
2025-09-22T16:28:59Z,31386.6,41471.4,13572.42762,17931.68006,-4359.252439999998
2025-09-22T16:29:59Z,64473.7,193564.3,27820.54781,83505.88683999999,-55685.33902999999
2025-09-22T16:30:59Z,275085.0,319033.0,118597.78246,137488.47864,-18890.696179999984
2025-09-22T16:31:59Z,222533.5,105113.5,96065.38985,45337.76674999998,50727.623100000026
2025-09-22T16:32:59Z,95245.3,133355.2,41174.15118,57648.060450000004,-16473.909270000004
2025-09-22T16:33:59Z,37565.3,82187.59999999999,16229.7216,35509.793860000005,-19280.072260000004
2025-09-22T16:34:59Z,91852.6,246604.9,39591.22364,106265.01189000001,-66673.78825000001
2025-09-22T16:35:59Z,348783.6,888439.2000000001,150062.30283,382155.92022,-232093.61739000003
2025-09-22T16:36:59Z,199351.5,341472.5,85792.5208,146910.31392000002,-61117.79312000002
2025-09-22T16:37:59Z,70228.9,281112.1,30208.3191,120925.97532,-90717.65622
2025-09-22T16:38:59Z,162244.8,131484.5,69879.74519,56626.15261999999,13253.592570000008
2025-09-22T16:39:59Z,195073.4,68649.9,84068.12569,29579.604529999997,54488.521160000004
2025-09-22T16:40:59Z,153042.0,103740.1,66017.79442,44742.53521999999,21275.259200000015
2025-09-22T16:41:59Z,178192.3,93294.29999999999,76884.43623,40260.37974999999,36624.056480000014
2025-09-22T16:42:59Z,47687.4,43005.99999999999,20548.63263,18532.46838,2016.1642500000016
2025-09-22T16:43:59Z,238232.2,308383.3,102582.48334,132780.80914,-30198.32579999999
2025-09-22T16:44:59Z,73557.5,477402.4,31632.68616,205433.43639,-173800.75022999998
2025-09-22T16:45:59Z,111433.0,161268.0,47913.52264,69333.5032,-21419.980560000004
